id_consumo;id_insumo;id_maquina;cantidad;fecha
1;1200400;MA005;750;4/1/2021
2;1200400;MA177;750;4/1/2021
3;1200404;OR145;750;4/1/2021
4;1200404;MA115;750;4/1/2021
5;1200407;VA160;750;4/1/2021
6;1200407;MA121;750;4/1/2021
7;1200412;VA141;500;4/1/2021
8;1203012;MA027;3;4/1/2021
9;1203049;MA112;2000;4/1/2021
10;1203049;MA078;2000;4/1/2021
11;1204560;MA015;500;4/1/2021
12;1205145;MA044;250;4/1/2021
13;1207401;MA126;250;4/1/2021
14;2009064;VA138;100;4/1/2021
15;2100487;MA090;1;4/1/2021
16;2100709;MA036;3;4/1/2021
17;2152916;MA170;10;4/1/2021
18;2152916;MA050;1;5/1/2021
19;1200400;MA043;500;6/1/2021
20;1200404;OR124;500;6/1/2021
21;1200407;VA135;500;6/1/2021
22;1200412;OR097;250;6/1/2021
23;1203049;MA154;2000;6/1/2021
24;1203320;MA169;1;6/1/2021
25;1206494;MA122;2750;6/1/2021
26;1207782;MA114;1;6/1/2021
27;2006758;MA175;1;6/1/2021
28;2006758;VA141;10;6/1/2021
29;2110991;MA045;2;6/1/2021
30;2152916;VA158;14;6/1/2021
31;2006758;OR143;1;7/1/2021
32;2006758;MA043;1;7/1/2021
33;1200038;VA134;500;8/1/2021
34;1200046;MA128;750;8/1/2021
35;1200100;MA093;500;8/1/2021
36;1200194;MA043;750;8/1/2021
37;1201069;MA102;250;8/1/2021
38;1201727;MA106;250;8/1/2021
39;1204912;MA078;250;8/1/2021
40;1206400;MA147;500;8/1/2021
41;1206494;VA158;250;8/1/2021
42;1207114;MA072;250;8/1/2021
43;1207401;MA107;1000;8/1/2021
44;1207915;MA168;250;8/1/2021
45;1208487;VA139;250;8/1/2021
46;1210830;VA136;10;8/1/2021
47;1210836;VA159;2;8/1/2021
48;2000012;MA128;20;8/1/2021
49;2006758;MA090;10;8/1/2021
50;2100061;VA156;5;8/1/2021
51;2113996;MA078;5;8/1/2021
52;2201046;MT118;800;8/1/2021
53;2300109;OR123;1;8/1/2021
54;2406565;MA172;1;8/1/2021
55;2406565;MA088;1;8/1/2021
56;3000141;MA078;2;8/1/2021
57;3003136;MA043;3;8/1/2021
58;3007780;OR076;2;8/1/2021
59;1200821;VA141;2000;11/1/2021
60;1201840;MA109;250;11/1/2021
61;1202286;MA093;500;11/1/2021
62;1203452;MA110;250;11/1/2021
63;1204823;MA120;500;11/1/2021
64;1205137;MA171;500;11/1/2021
65;1205145;VA163;500;11/1/2021
66;1213021;OR149;500;11/1/2021
67;2100029;VA159;2;11/1/2021
68;3001121;MA089;15;11/1/2021
69;1200010;MA128;250;12/1/2021
70;1200012;MA087;250;12/1/2021
71;1200038;MA089;250;12/1/2021
72;1200046;MA126;250;12/1/2021
73;1200430;OR076;500;12/1/2021
74;1200431;VA132;500;12/1/2021
75;1200432;MA116;500;12/1/2021
76;1202294;VA161;500;12/1/2021
77;1203495;VA137;500;12/1/2021
78;1203592;MA092;250;12/1/2021
79;1204560;OR097;500;12/1/2021
80;1204823;MA129;250;12/1/2021
81;1204904;MA045;250;12/1/2021
82;1204912;MA106;250;12/1/2021
83;1205137;MA068;250;12/1/2021
84;1206494;OR096;500;12/1/2021
85;1207377;MA465;500;12/1/2021
86;1207385;MA089;250;12/1/2021
87;1207741;MA015;250;12/1/2021
88;1207990;VA159;500;12/1/2021
89;1210249;MA050;250;12/1/2021
90;2006758;MA153;1;12/1/2021
91;2006758;VA156;1;12/1/2021
92;3001431;MA101;3;12/1/2021
93;3003136;OR144;2;12/1/2021
94;1116118;MA094;14;13/1/2021
95;1200038;MA168;750;13/1/2021
96;1200046;MA081;750;13/1/2021
97;1200100;MA122;750;13/1/2021
98;1200194;MA465;750;13/1/2021
99;1200418;VA160;500;13/1/2021
100;1200500;VA164;2000;13/1/2021
101;1211948;MA129;19;13/1/2021
102;2006758;MA080;3;13/1/2021
103;2006758;MA131;10;13/1/2021
104;2006758;MA119;1;14/1/2021
105;2152916;VA137;1;14/1/2021
106;1200821;MA019;2000;15/1/2021
107;1202286;MA045;500;15/1/2021
108;1202294;MA029;2000;15/1/2021
109;1203015;MT117;30;15/1/2021
110;1204823;VA160;500;15/1/2021
111;1205137;MA044;500;15/1/2021
112;1205145;MA153;500;15/1/2021
113;1208012;VA164;2000;15/1/2021
114;2005085;MA085;1;15/1/2021
115;2006758;MA119;1;15/1/2021
116;2006758;MA091;1;15/1/2021
117;2006758;MA050;1;15/1/2021
118;2113799;MA111;9;15/1/2021
119;3003069;VA157;3;15/1/2021
120;2006758;MA092;1;16/1/2021
121;2152916;MT105;1;16/1/2021
122;1201350;MA101;1;17/1/2021
123;1901797;MA107;1;17/1/2021
124;1200038;VA140;750;18/1/2021
125;1200046;OR142;500;18/1/2021
126;1200100;VA162;500;18/1/2021
127;1200194;VA158;500;18/1/2021
128;1201350;MA112;1;18/1/2021
129;1203012;MA110;2;18/1/2021
130;1204138;OR098;3000;18/1/2021
131;1206494;MA050;2750;18/1/2021
132;1207393;MA110;250;18/1/2021
133;1210836;MA130;1;18/1/2021
134;1901797;VA132;1;18/1/2021
135;2001357;MA109;4;18/1/2021
136;2006758;VA132;1;18/1/2021
137;2006758;MA091;10;18/1/2021
138;2009154;MA170;1;18/1/2021
139;2105275;VA158;20;18/1/2021
140;2105999;MA072;50;18/1/2021
141;2107570;MA101;2;18/1/2021
142;2108805;MA130;1;18/1/2021
143;2170101;VA139;4;18/1/2021
144;2200025;MA116;200;18/1/2021
145;3002637;MA127;3;18/1/2021
146;2006758;MA055;3;19/1/2021
147;2405862;MA110;1;19/1/2021
148;1200700;VA162;10;20/1/2021
149;1200701;VA140;585;20/1/2021
150;1200702;OR096;585;20/1/2021
151;1200705;VA134;15;20/1/2021
152;1200711;MA045;575;20/1/2021
153;1200726;VA158;15;20/1/2021
154;1203460;MA113;1000;20/1/2021
155;1203495;MA146;1000;20/1/2021
156;1203592;MA168;1000;20/1/2021
157;1203606;MA121;1000;20/1/2021
158;1204137;VA163;2500;20/1/2021
159;1206176;MA011;1000;20/1/2021
160;1206524;MA073;600;20/1/2021
161;1906452;MA015;1;20/1/2021
162;2006758;MA036;1;20/1/2021
163;2006758;MA175;2;20/1/2021
164;3200506;MA173;4;20/1/2021
165;1203036;MA108;2000;21/1/2021
166;1203290;MA080;2;21/1/2021
167;2006758;MA127;1;21/1/2021
168;2006758;MA089;10;21/1/2021
169;2035244;MA001;10;21/1/2021
170;2100010;MA086;1;21/1/2021
171;2107597;MA122;2;21/1/2021
172;2107600;OR149;2;21/1/2021
173;2110091;MA086;1;21/1/2021
174;2110105;MA465;2;21/1/2021
175;2405862;OR125;1;21/1/2021
176;3001121;MA080;15;21/1/2021
177;3001415;VA161;2;21/1/2021
178;3002637;MA150;3;21/1/2021
179;3003136;VA160;2;21/1/2021
180;1200821;OR149;2000;22/1/2021
181;1201350;MA080;1;22/1/2021
182;1202286;MA172;500;22/1/2021
183;1204823;VA158;500;22/1/2021
184;1205137;VA135;500;22/1/2021
185;1205145;MA147;500;22/1/2021
186;2006758;MA121;1;22/1/2021
187;2006758;VA158;1;22/1/2021
188;2100495;MA107;3;22/1/2021
189;1204300;MA005;2500;23/1/2021
190;1207790;MA101;1;23/1/2021
191;2006758;MA009;2;23/1/2021
192;2006758;MA100;20;23/1/2021
193;1201350;MA103;1;25/1/2021
194;1203290;MA050;1;25/1/2021
195;2100282;OR143;4;25/1/2021
196;1200178;MA169;250;27/1/2021
